id,uwi,long,lat,lease,operator,fake_number
42000000000037,42000000000037,-102.6199526,32.3345965,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,72
42000000000038,42000000000038,-102.75284,32.12462,UNIVERSITY 11-26,SHERIDAN PRODUCTION COMPANY LLC,39
42000000000039,42000000000039,-102.77415,32.41095,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,99
42000000000040,42000000000040,-102.2252241,32.2285676,MABEE UNIT,CHEVRON U S A INCORPORATED,65
42000000000041,42000000000041,-102.2236202,32.1947212,MABEE UNIT,CHEVRON U S A INCORPORATED,76
42000000000042,42000000000042,-102.2245729,32.1983103,MABEE UNIT,CHEVRON U S A INCORPORATED,16
42000000000043,42000000000043,-102.2465455,32.2122654,MABEE UNIT,CHEVRON U S A INCORPORATED,99
42000000000044,42000000000044,-102.2221094,32.2331102,MABEE UNIT,CHEVRON U S A INCORPORATED,91
42000000000045,42000000000045,-102.2167552,32.2304667,MABEE UNIT,CHEVRON U S A INCORPORATED,91
42000000000046,42000000000046,-102.275425,32.220368,MABEE J E `A` NCT-1,TEXACO EXPLORATION & PRODUCTION INC,47
42000000000047,42000000000047,-102.5670691,32.1879481,STATE OF TEXAS `BH`,XTO ENERGY INCORPORATED,50
42000000000048,42000000000048,-102.7771,32.40646,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,58
42000000000049,42000000000049,-102.527306,32.1625756,STATE CR,XTO ENERGY INCORPORATED,33
42000000000050,42000000000050,-102.5306445,32.1584108,STATE OF TEXAS DD,XTO ENERGY INCORPORATED,95
42000000000051,42000000000051,-102.74207,32.32786,UNIVERSITY CONSOLIDATED XII,SHERIDAN PRODUCTION COMPANY LLC,64
42000000000052,42000000000052,-103.0455767,32.2236527,EVANS RUBE,DENTON RESOURCES LLC,51
42000000000053,42000000000053,-102.2417228,32.2037113,MABEE UNIT,CHEVRON U S A INCORPORATED,22
42000000000054,42000000000054,-102.7603028,32.4235444,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,42
42000000000055,42000000000055,-102.79378,32.46891,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,49
42000000000056,42000000000056,-102.2433803,32.1956726,MABEE UNIT,CHEVRON U S A INCORPORATED,27
42000000000057,42000000000057,-102.245959,32.2026066,MABEE UNIT,CHEVRON U S A INCORPORATED,7
42000000000058,42000000000058,-103.0511886,32.1640755,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,96
42000000000059,42000000000059,-102.3843825,32.1456987,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,28
42000000000060,42000000000060,-102.76983,32.41777,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,93
42000000000061,42000000000061,-102.6441015,32.2249902,GRAY COLUMBUS ET AL,BREITBURN OPERATING LIMITED PARTNERSHIP,13
42000000000062,42000000000062,-102.692271,32.200483,TEXAS UNIVERSITY CONS,THOMPSON J CLEO,20
42000000000063,42000000000063,-103.0553132,32.1634214,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,6
42000000000064,42000000000064,-102.5757104,32.1886877,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,71
42000000000065,42000000000065,-103.0471517,32.1239215,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,90
42000000000066,42000000000066,-102.5797222,32.1877778,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,39
42000000000067,42000000000067,-102.8652611,32.4304401,RALPH A,DEVON ENERGY PRODUCTION COMPANY L P,91
42000000000068,42000000000068,-102.228096,32.216491,MABEE UNIT,CHEVRON U S A INCORPORATED,88
42000000000069,42000000000069,-103.0510281,32.1674443,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,56
42000000000070,42000000000070,-103.0556508,32.1671543,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,20
42000000000071,42000000000071,-102.2464264,32.1986662,MABEE UNIT,CHEVRON U S A INCORPORATED,2
42000000000072,42000000000072,-102.2347927,32.2109089,MABEE UNIT,CHEVRON U S A INCORPORATED,30
42000000000073,42000000000073,-102.2425487,32.199624,MABEE UNIT,CHEVRON U S A INCORPORATED,61
42000000000074,42000000000074,-102.24979,32.20955,MABEE UNIT,CHEVRON U S A INCORPORATED,94
42000000000075,42000000000075,-102.2446352,32.2066812,MABEE UNIT,CHEVRON U S A INCORPORATED,3
42000000000076,42000000000076,-102.224449,32.2470393,MABEE UNIT,CHEVRON U S A INCORPORATED,93
42000000000077,42000000000077,-102.236078,32.214695,MABEE UNIT,CHEVRON U S A INCORPORATED,26
42000000000078,42000000000078,-102.2519952,32.2369209,MABEE UNIT,CHEVRON U S A INCORPORATED,29
42000000000079,42000000000079,-102.2594252,32.2315509,MABEE UNIT,CHEVRON U S A INCORPORATED,68
42000000000080,42000000000080,-102.808068,32.4569449,BITLER,CONOCOPHILLIPS COMPANY,8
42000000000081,42000000000081,-102.8000748,32.4794724,BITLER DEEP,CONOCOPHILLIPS COMPANY,83
42000000000082,42000000000082,-102.5744482,32.1849953,UNIVERSITY `9D`,XTO ENERGY INCORPORATED,7
42000000000083,42000000000083,-102.7625828,32.1846151,GOLDSMITH NORTH (SAN ANDRES CONSOL) UT,PECOS OPERATING COMPANY LLC,84
42000000000084,42000000000084,-102.3815402,32.1431332,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,46
42000000000085,42000000000085,-103.0514101,32.1854568,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,62
42000000000086,42000000000086,-103.0428784,32.1174112,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,99
42000000000087,42000000000087,-102.9100707,32.161736,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,12
42000000000088,42000000000088,-102.8075064,32.4919299,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,89
42000000000089,42000000000089,-102.6612495,32.3508615,UNIVERSITY `9-14`,BIG D ENERGY COMPANY,84
42000000000090,42000000000090,-102.6765617,32.3701072,UNIVERSITY `3-14`,BIG D ENERGY COMPANY,73
42000000000091,42000000000091,-102.8935418,32.146957,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,46
42000000000092,42000000000092,-102.7940994,32.4795034,LOWE BITLER UNIT,SHERIDAN PRODUCTION COMPANY LLC,64
42000000000093,42000000000093,-102.2488943,32.2221526,MABEE UNIT,CHEVRON U S A INCORPORATED,10
42000000000094,42000000000094,-102.8038691,32.4852355,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,36
42000000000095,42000000000095,-102.9040444,32.1569778,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,14
42000000000096,42000000000096,-102.9040444,32.1569778,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,18
42000000000097,42000000000097,-102.9040444,32.1569778,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,64
42000000000098,42000000000098,-102.6223186,32.3415148,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,67
42000000000099,42000000000099,-102.2128268,32.2279573,MABEE UNIT,CHEVRON U S A INCORPORATED,6
42000000000100,42000000000100,-102.8005984,32.4890197,FULLERTON SAN ANDRES UNIT,DEVON ENERGY PRODUCTION COMPANY L P,9
42000000000101,42000000000101,-102.8104975,32.4854108,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,67
42000000000102,42000000000102,-102.5721492,32.2057525,UNIVERSITY `9A`,XTO ENERGY INCORPORATED,57
42000000000103,42000000000103,-102.57798,32.19711,UNIVERSITY 9 B,XTO ENERGY INCORPORATED,28
42000000000104,42000000000104,-102.7951193,32.4705115,BITLER,CONOCOPHILLIPS COMPANY,37
42000000000105,42000000000105,-102.5838897,32.1964548,UNIVERSITY 9 C,XTO ENERGY INCORPORATED,41
42000000000106,42000000000106,-102.5838897,32.1964548,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,88
42000000000107,42000000000107,-102.3175931,32.4091247,UNIVERSITY 8-2,PIEDRA OPERATING LLC,62
42000000000108,42000000000108,-102.5716081,32.1897455,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,91
42000000000109,42000000000109,-102.5806692,32.2070735,STATE UNIVERSITY `AO`,XTO ENERGY INCORPORATED,8
42000000000110,42000000000110,-102.5859001,32.1989707,UNIVERSITY `9C`,XTO ENERGY INCORPORATED,77
42000000000111,42000000000111,-102.5859001,32.1989707,UNIVERSITY 9 C 6H,XTO ENERGY INCORPORATED,44
42000000000112,42000000000112,-102.2207194,32.2049861,MABEE UNIT,CHEVRON U S A INCORPORATED,94
42000000000113,42000000000113,-102.2217514,32.2152483,MABEE UNIT,CHEVRON U S A INCORPORATED,61
42000000000114,42000000000114,-102.5794833,32.2001722,UNIVERSITY 9B,XTO ENERGY INCORPORATED,87
42000000000115,42000000000115,-102.5736693,32.1915556,STATE UNIVERSITY `AU`,XTO ENERGY INCORPORATED,15
42000000000116,42000000000116,-102.5736693,32.1915556,STATE UNIVERSITY AU,XTO ENERGY INCORPORATED,38
42000000000117,42000000000117,-102.5859397,32.194488,UNIVERSITY `9C`,XTO ENERGY INCORPORATED,79
42000000000118,42000000000118,-102.5762202,32.1994812,UNIVERSITY 9B,XTO ENERGY INCORPORATED,54
42000000000119,42000000000119,-102.6816857,32.3461753,UNIVERSITY `13-14` SOUTH,BIG D ENERGY COMPANY,6
42000000000120,42000000000120,-102.5771333,32.2027091,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,55
42000000000121,42000000000121,-102.5867028,32.2015472,TEXAS `Q`,XTO ENERGY INCORPORATED,33
42000000000122,42000000000122,-102.7184725,32.118167,UNIVERSITY `G`,SHERIDAN PRODUCTION COMPANY LLC,60
42000000000123,42000000000123,-102.5777419,32.2092186,STATE UNIVERSITY `AO`,XTO ENERGY INCORPORATED,87
42000000000124,42000000000124,-102.5777419,32.2092186,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,47
42000000000125,42000000000125,-102.5672222,32.1905556,TEXAS N,XTO ENERGY INCORPORATED,63
42000000000126,42000000000126,-102.575586,32.1958728,UNIVERSITY `9B`,XTO ENERGY INCORPORATED,92
42000000000127,42000000000127,-102.575586,32.1958728,UNIVERSITY 9 B,XTO ENERGY INCORPORATED,8
42000000000128,42000000000128,-102.575586,32.1958728,UNIVERSITY 9B,XTO ENERGY INCORPORATED,68
42000000000129,42000000000129,-102.3557636,32.3587665,FASKEN BLOCK `CB` A/C 2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,64
42000000000130,42000000000130,-102.5708732,32.2013798,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,26
42000000000131,42000000000131,-102.559533,32.1926599,UNIVERSITY `9` CEC,XTO ENERGY INCORPORATED,25
42000000000132,42000000000132,-102.559533,32.1926599,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,90
42000000000133,42000000000133,-102.5605913,32.2021205,UNIVERSITY `9CEC`,XTO ENERGY INCORPORATED,61
42000000000134,42000000000134,-102.5605913,32.2021205,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,21
42000000000135,42000000000135,-102.5729679,32.1819741,UNIVERSITY `9D`,XTO ENERGY INCORPORATED,75
42000000000136,42000000000136,-102.5729679,32.1819741,UNIVERSITY BLK 9 (PENN) UNIT,XTO ENERGY INCORPORATED,6
42000000000137,42000000000137,-102.5729679,32.1819741,UNIVERSITY 9D,XTO ENERGY INCORPORATED,54
42000000000138,42000000000138,-102.568414,32.194642,TEXAS` N`,XTO ENERGY INCORPORATED,39
42000000000139,42000000000139,-102.6000542,32.1480028,STATE `FI`,AMERICO ENERGY RESOURCES LLC,14
42000000000140,42000000000140,-102.3378472,32.3498533,FASKEN C B A/C-2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,60
42000000000141,42000000000141,-102.3378472,32.3498533,FASKEN C B A/C-2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,96
42000000000142,42000000000142,-102.3378472,32.3498533,FASKEN C B A-C 2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,65
42000000000143,42000000000143,-102.5736743,32.2083137,UNIVERSITY 9 `A`,XTO ENERGY INCORPORATED,88
42000000000144,42000000000144,-102.5736743,32.2083137,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,68
42000000000145,42000000000145,-102.5736743,32.2083137,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,56
42000000000146,42000000000146,-102.6322808,32.234693,BONER-FORD,BREITBURN OPERATING LIMITED PARTNERSHIP,85
42000000000147,42000000000147,-102.5562766,32.1904442,UNIVERSITY `9-H`,XTO ENERGY INCORPORATED,41
42000000000148,42000000000148,-102.5562766,32.1904442,UNIVERSITY 9 H,XTO ENERGY INCORPORATED,37
42000000000149,42000000000149,-102.8271634,32.2866248,LOTUS,LOTUS L L C,77
42000000000150,42000000000150,-102.5614939,32.1846693,STATE OF TEXAS BH,XTO ENERGY INCORPORATED,40
42000000000151,42000000000151,-102.5717464,32.1839677,UNIVERSITY `9` D,XTO ENERGY INCORPORATED,14
42000000000152,42000000000152,-102.5638,32.211,TEXAS `L`,XTO ENERGY INCORPORATED,28
42000000000153,42000000000153,-102.5638,32.211,TEXAS L,XTO ENERGY INCORPORATED,70
42000000000154,42000000000154,-102.5863414,32.2104484,TEXAS Q,XTO ENERGY INCORPORATED,67
42000000000155,42000000000155,-102.5796469,32.1896811,STATE UNIVERSITY `AT`,XTO ENERGY INCORPORATED,16
42000000000156,42000000000156,-102.5796469,32.1896811,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,37
42000000000157,42000000000157,-102.3749547,32.1462203,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,26
42000000000158,42000000000158,-102.5589776,32.2052946,UNIVERSITY 9 CEC,XTO ENERGY INCORPORATED,58
42000000000159,42000000000159,-103.0345855,32.1847806,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,69
42000000000160,42000000000160,-102.5808632,32.2018486,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,72
42000000000161,42000000000161,-103.0567028,32.1857833,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,27
42000000000162,42000000000162,-102.4722705,32.2226317,UNIVERSITY F,NADEL AND GUSSMAN PERMIAN LLC,17
42000000000163,42000000000163,-102.4722705,32.2226317,UNIVERSITY F,NADEL AND GUSSMAN PERMIAN LLC,76
42000000000164,42000000000164,-102.5133274,32.1742566,UNIVERSITY 1-26,EOG RESOURCES INCORPORATED,87
42000000000165,42000000000165,-102.5013734,32.2092951,UNIVERSITY 1-16,WILBANKS RESERVE CORPORATION,12
42000000000166,42000000000166,-102.6111028,32.5061917,HAIR OF THE DOG,RING ENERGY INCORPORATED,66
42000000000167,42000000000167,-102.5732816,32.203814,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,26
42000000000168,42000000000168,-102.6508472,32.1289444,UNIVERSITY,SANDRIDGE EXPLORATION & PRODUCTION LLC,62
42000000000169,42000000000169,-102.8228528,32.2191861,UNIVERSITY 12-36,DEVON ENERGY PRODUCTION COMPANY L P,68
42000000000170,42000000000170,-102.7382806,32.1878056,UNIVERSITY 6N,SHERIDAN PRODUCTION COMPANY LLC,94
42000000000171,42000000000171,-102.6314435,32.3376025,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,77
42000000000172,42000000000172,-102.6398839,32.4200265,FISHER 4,LIME ROCK RESOURCES IV A LP,100
42000000000173,42000000000173,-102.646025,32.4166167,FISHER 4,LIME ROCK RESOURCES IV A LP,52
42000000000174,42000000000174,-102.6287722,32.3344333,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,86
42000000000175,42000000000175,-102.5684304,32.2112106,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,13
42000000000176,42000000000176,-102.6356052,32.3419845,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,35
42000000000177,42000000000177,-102.6325166,32.3297734,SHAFTER LAKE-SAN ANDRES-UNIT,APACHE CORPORATION,47
42000000000178,42000000000178,-102.74674,32.15297,PHILLIPS UNIVERSITY -O-,SHERIDAN PRODUCTION COMPANY LLC,95
42000000000179,42000000000179,-102.632536,32.329448,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,90
42000000000180,42000000000180,-102.6902944,32.173025,FUHRMAN MASCHO SOUTH UNIT,SHERIDAN PRODUCTION COMPANY LLC,81
42000000000181,42000000000181,-102.9300806,32.1041472,BRUCE & BAR 73-18,MAVERICK OPERATING COMPANY LLC,16
42000000000182,42000000000182,-102.6692864,32.2577375,FLEMING -A-,SHERIDAN PRODUCTION COMPANY LLC,4
42000000000183,42000000000183,-102.8259861,32.1389583,UNIVERSITY `B11` 18,MEWBOURNE OIL COMPANY,77
42000000000184,42000000000184,-102.6326083,32.4173667,FISHER 4,LIME ROCK RESOURCES IV A LP,80
42000000000185,42000000000185,-102.6424697,32.4150342,FISHER 4,LIME ROCK RESOURCES IV A LP,38
42000000000186,42000000000186,-102.8174309,32.2202363,UNIVERSITY 12-36,DEVON ENERGY PRODUCTION COMPANY L P,20
42000000000187,42000000000187,-102.6352862,32.4167172,FISHER 4,LIME ROCK RESOURCES IV A LP,48
42000000000188,42000000000188,-102.7298333,32.4029056,UNIVERSITY -YZ-,OXY USA WTP LP,88
42000000000189,42000000000189,-102.8269028,32.1441833,UNIVERSITY `B11` `7`,MEWBOURNE OIL COMPANY,58
42000000000190,42000000000190,-102.830623,32.138426,UNIVERSITY `B11` `18`,MEWBOURNE OIL COMPANY,72
42000000000191,42000000000191,-102.6177194,32.3908667,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,82
42000000000192,42000000000192,-102.6015469,32.1596444,STATE AQ,GREYSTONE PETROLEUM LLC,43
42000000000193,42000000000193,-102.3443938,32.4540769,UNIVERSITY LANDS 5-22,PIEDRA OPERATING LLC,57
42000000000194,42000000000194,-102.6119167,32.3922556,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,100
42000000000195,42000000000195,-102.3616602,32.4804665,UNIVERSITY LANDS CONSOLIDATED UNIT 5-9,ZARVONA ENERGY LLC,73
42000000000196,42000000000196,-102.6487528,32.1637694,UNIVERSITY 24A,SHERIDAN PRODUCTION COMPANY LLC,84
42000000000197,42000000000197,-102.6183083,32.3265028,SHAFTER LAKE/SAN ANDRES/UNIT,APACHE CORPORATION,60
42000000000198,42000000000198,-102.6176778,32.3263722,SHAFTER LAKE/SAN ANDRES/UNIT,APACHE CORPORATION,22
42000000000199,42000000000199,-102.7195556,32.2662611,RANCH 4,SHERIDAN PRODUCTION COMPANY LLC,90
42000000000200,42000000000200,-102.63245,32.3401722,SHAFTER LAKE /SAN ANDRES/ UNIT,APACHE CORPORATION,72
42000000000201,42000000000201,-102.8824014,32.2653064,UNIVERSITY 12-10,DEVON ENERGY PRODUCTION COMPANY L P,68
42000000000202,42000000000202,-102.7403158,32.3914783,UB 13-14,LIME ROCK RESOURCES IV A LP,28
42000000000203,42000000000203,-102.8229333,32.15995,UNIVERSITY B11 `5`,MEWBOURNE OIL COMPANY,68
42000000000204,42000000000204,-102.6330167,32.3297694,SHAFTER LAKE /SAN ANDRES/ UNIT,APACHE CORPORATION,39
42000000000205,42000000000205,-102.6887816,32.4286819,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,50
42000000000206,42000000000206,-102.6841085,32.4131638,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,13
42000000000207,42000000000207,-102.82319,32.22083,UNIVERSITY 12-25 SOUTHEAST,SHERIDAN PRODUCTION COMPANY LLC,91
42000000000208,42000000000208,-102.8983,32.5203805,ECLIPSE,TEXLAND PETROLEUM LIMITED PARTNERSHIP,9
42000000000209,42000000000209,-102.6148083,32.3915681,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,27
42000000000210,42000000000210,-102.6214831,32.3899789,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,48
42000000000211,42000000000211,-102.8228472,32.1422068,THREE BAR SHALLOW UNIT,APACHE CORPORATION,30
42000000000212,42000000000212,-102.4856578,32.1338636,UNIVERSITY `36` PINNACLE,ZARVONA ENERGY LLC,86
42000000000213,42000000000213,-102.640511,32.2570732,GOWENS J W -A-,SHERIDAN PRODUCTION COMPANY LLC,17
42000000000214,42000000000214,-102.819281,32.143639,THREE BAR SHALLOW UNIT,APACHE CORPORATION,63
42000000000215,42000000000215,-102.823823,32.144006,THREE BAR SHALLOW UNIT,APACHE CORPORATION,56
42000000000216,42000000000216,-102.6432765,32.4148626,FISHER 9,LIME ROCK RESOURCES IV A LP,18
42000000000217,42000000000217,-102.6183738,32.3886268,WELBORN 20,PACESETTER ENERGY INCORPORATED,42
42000000000218,42000000000218,-102.6100688,32.3906306,WELBORN 20,PACESETTER ENERGY INCORPORATED,34
42000000000219,42000000000219,-102.7949711,32.157595,THREE BAR SHALLOW UNIT,APACHE CORPORATION,41
42000000000220,42000000000220,-102.6255203,32.4190405,FISHER 5,LIME ROCK RESOURCES IV A LP,9
42000000000221,42000000000221,-102.7915167,32.0911139,UNIVERSITY `B11-32`,MEWBOURNE OIL COMPANY,89
42000000000222,42000000000222,-102.6208084,32.4184517,FISHER 8,LIME ROCK RESOURCES IV A LP,12
42000000000223,42000000000223,-102.4848833,32.1642083,UNIVERSITY 29 SAWGRASS,ZARVONA ENERGY LLC,71
42000000000224,42000000000224,-102.7219785,32.404181,UNIVERSITY -YZ-,OXY USA WTP LP,57
42000000000225,42000000000225,-102.5285194,32.2132083,UNIVERSITY 7 `BERKLEY`,ZARVONA ENERGY LLC,59
42000000000226,42000000000226,-102.7249992,32.4103556,UNIVERSITY LANDS 13 KEENE 34,LIME ROCK RESOURCES IV A LP,94
42000000000227,42000000000227,-102.6142608,32.3896192,WELBORN 20,PACESETTER ENERGY INCORPORATED,10
42000000000228,42000000000228,-102.6981306,32.2845083,LINDLEY -A-,ARES ENERGY LIMITED,60
42000000000229,42000000000229,-102.4683972,32.1652724,UNIVERSITY `30` COBRA,ZARVONA ENERGY LLC,72
42000000000230,42000000000230,-102.6892392,32.4346956,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,30
42000000000231,42000000000231,-102.6064447,32.391505,WELBORN `20`,PACESETTER ENERGY INCORPORATED,90
42000000000232,42000000000232,-102.7870917,32.1064925,UNIVERSITY `B11 28`,MEWBOURNE OIL COMPANY,44
42000000000233,42000000000233,-102.814276,32.143697,THREE BAR SHALLOW UNIT,APACHE CORPORATION,80
42000000000234,42000000000234,-102.8201139,32.145625,THREE BAR SHALLOW UNIT,APACHE CORPORATION,70
42000000000235,42000000000235,-102.2837408,32.4803409,UNIVERSITY 6-23 UNIT,W&T OFFSHORE INCORPORATED,97
42000000000236,42000000000236,-102.4827982,32.1813502,UNIVERSITY `29` SAWGRASS POOLED UNIT,ZARVONA ENERGY LLC,8
42000000000237,42000000000237,-102.7574383,32.3853317,UNIVERSITY LANDS 13 DUBLIN,LIME ROCK RESOURCES IV A LP,88
42000000000238,42000000000238,-102.2614903,32.4279736,UNIVERSITY 6-48,W&T OFFSHORE INCORPORATED,52
42000000000239,42000000000239,-102.798568,32.153882,THREE BAR SHALLOW UNIT,APACHE CORPORATION,83
42000000000240,42000000000240,-102.811251,32.147907,THREE BAR SHALLOW UNIT,APACHE CORPORATION,60
